MyDay,NENAME,S1_mode_combined_attach_request_times_SEQ,S1_mode_combined_attach_success_times_SEQ
2020/11/09 0:00,MME1BEL,406136,233634
2020/11/09 1:00,MME1BEL,366327,195370
2020/11/09 2:00,MME1BEL,339953,174460
2020/11/09 3:00,MME1BEL,326782,166727
2020/11/09 4:00,MME1BEL,317180,158924
2020/11/09 5:00,MME1BEL,320595,166856
2020/11/09 6:00,MME1BEL,346513,187401
2020/11/09 7:00,MME1BEL,373188,212202
2020/11/09 8:00,MME1BEL,396747,231071
2020/11/09 9:00,MME1BEL,414309,242256
2020/11/09 10:00,MME1BEL,425168,248797
2020/11/09 11:00,MME1BEL,436388,254780
2020/11/09 12:00,MME1BEL,448289,259244
2020/11/09 13:00,MME1BEL,453168,259410
2020/11/09 14:00,MME1BEL,450002,255340
2020/11/09 15:00,MME1BEL,444377,250942
2020/11/09 16:00,MME1BEL,444069,249129
2020/11/09 17:00,MME1BEL,446679,253183
2020/11/09 18:00,MME1BEL,446800,254021
2020/11/09 19:00,MME1BEL,455624,259832
2020/11/09 20:00,MME1BEL,464474,271410
2020/11/09 21:00,MME1BEL,455998,266679
2020/11/09 22:00,MME1BEL,446437,259071
2020/11/09 23:00,MME1BEL,419512,239653
2020/11/10 0:00,MME1BEL,400229,225593
2020/11/10 1:00,MME1BEL,354620,186182
2020/11/10 2:00,MME1BEL,335331,172197
2020/11/10 3:00,MME1BEL,321713,160456
2020/11/10 4:00,MME1BEL,316134,157377
2020/11/10 5:00,MME1BEL,317416,161310
2020/11/10 6:00,MME1BEL,357253,192926
2020/11/10 7:00,MME1BEL,373471,209723
2020/11/10 8:00,MME1BEL,396698,230656
2020/11/10 9:00,MME1BEL,408710,236085
2020/11/10 10:00,MME1BEL,423923,245849
2020/11/10 11:00,MME1BEL,430700,248790
2020/11/10 12:00,MME1BEL,438637,255718
2020/11/10 13:00,MME1BEL,441007,252468
2020/11/10 14:00,MME1BEL,442306,252256
2020/11/10 15:00,MME1BEL,434268,247822
2020/11/10 16:00,MME1BEL,437231,249950
2020/11/10 17:00,MME1BEL,436850,250991
2020/11/10 18:00,MME1BEL,441456,254969
2020/11/10 19:00,MME1BEL,449412,262306
2020/11/10 20:00,MME1BEL,463750,273733
2020/11/10 21:00,MME1BEL,455573,265785
2020/11/10 22:00,MME1BEL,451341,264349
2020/11/10 23:00,MME1BEL,424411,240467
2020/11/11 0:00,MME1BEL,398412,220895
2020/11/11 1:00,MME1BEL,365624,187687
2020/11/11 2:00,MME1BEL,338261,171279
2020/11/11 3:00,MME1BEL,324108,159493
2020/11/11 4:00,MME1BEL,320099,155758
2020/11/11 5:00,MME1BEL,320786,160178
2020/11/11 6:00,MME1BEL,348342,184911
2020/11/11 7:00,MME1BEL,372459,208045
2020/11/11 8:00,MME1BEL,398383,228063
2020/11/11 9:00,MME1BEL,412273,236123
2020/11/11 10:00,MME1BEL,422542,244269
2020/11/11 11:00,MME1BEL,430640,247455
2020/11/11 12:00,MME1BEL,445821,256887
2020/11/11 13:00,MME1BEL,443350,252214
2020/11/11 14:00,MME1BEL,437183,247758
2020/11/11 15:00,MME1BEL,437852,246810
2020/11/11 16:00,MME1BEL,437236,248826
2020/11/11 17:00,MME1BEL,437193,251470
2020/11/11 18:00,MME1BEL,439919,251658
2020/11/11 19:00,MME1BEL,448156,258248
2020/11/11 20:00,MME1BEL,459165,268475
2020/11/11 21:00,MME1BEL,502204,308885
2020/11/11 22:00,MME1BEL,478782,287641
2020/11/11 23:00,MME1BEL,428401,243448
2020/11/12 0:00,MME1BEL,398727,219200
2020/11/12 1:00,MME1BEL,359891,185554
2020/11/12 2:00,MME1BEL,337851,170915
2020/11/12 3:00,MME1BEL,317550,158074
2020/11/12 4:00,MME1BEL,315751,153838
2020/11/12 5:00,MME1BEL,320483,159172
2020/11/12 6:00,MME1BEL,347062,184780
2020/11/12 7:00,MME1BEL,373933,205892
2020/11/12 8:00,MME1BEL,394489,225007
2020/11/12 9:00,MME1BEL,406478,232811
2020/11/12 10:00,MME1BEL,425330,243984
2020/11/12 11:00,MME1BEL,431418,247877
2020/11/12 12:00,MME1BEL,442471,254233
2020/11/12 13:00,MME1BEL,443918,252738
2020/11/12 14:00,MME1BEL,443386,253632
2020/11/12 15:00,MME1BEL,437087,248190
2020/11/12 16:00,MME1BEL,440326,251099
2020/11/12 17:00,MME1BEL,440799,249895
2020/11/12 18:00,MME1BEL,441509,252548
2020/11/12 19:00,MME1BEL,449252,257317
2020/11/12 20:00,MME1BEL,468149,273080
2020/11/12 21:00,MME1BEL,452012,260579
2020/11/12 22:00,MME1BEL,399823,227573
2020/11/12 23:00,MME1BEL,439513,250638
2020/11/13 0:00,MME1BEL,397721,218260
2020/11/13 1:00,MME1BEL,368963,192749
2020/11/13 2:00,MME1BEL,352163,174534
2020/11/13 3:00,MME1BEL,332424,161559
2020/11/13 4:00,MME1BEL,324247,157209
2020/11/13 5:00,MME1BEL,329798,162667
2020/11/13 6:00,MME1BEL,351258,185886
2020/11/13 7:00,MME1BEL,379643,210796
2020/11/13 8:00,MME1BEL,402375,228294
2020/11/13 9:00,MME1BEL,416574,237713
2020/11/13 10:00,MME1BEL,426074,244095
2020/11/13 11:00,MME1BEL,437902,251205
2020/11/13 12:00,MME1BEL,441835,252701
2020/11/13 13:00,MME1BEL,442947,251079
2020/11/13 14:00,MME1BEL,451950,253416
2020/11/13 15:00,MME1BEL,447394,250205
2020/11/13 16:00,MME1BEL,444890,252061
2020/11/13 17:00,MME1BEL,444615,251772
2020/11/13 18:00,MME1BEL,450199,255321
2020/11/13 19:00,MME1BEL,456012,260227
2020/11/13 20:00,MME1BEL,467051,270912
2020/11/13 21:00,MME1BEL,459668,263475
2020/11/13 22:00,MME1BEL,447954,257923
2020/11/13 23:00,MME1BEL,430945,241951
2020/11/14 0:00,MME1BEL,411909,226891
2020/11/14 1:00,MME1BEL,374621,196367
2020/11/14 2:00,MME1BEL,355764,180179
2020/11/14 3:00,MME1BEL,342070,168190
2020/11/14 4:00,MME1BEL,329243,159590
2020/11/14 5:00,MME1BEL,324400,161247
2020/11/14 6:00,MME1BEL,340936,176253
2020/11/14 7:00,MME1BEL,357845,192380
2020/11/14 8:00,MME1BEL,382110,213784
2020/11/14 9:00,MME1BEL,409573,233798
2020/11/14 10:00,MME1BEL,424122,244990
2020/11/14 11:00,MME1BEL,432621,248100
2020/11/14 12:00,MME1BEL,437962,248158
2020/11/14 13:00,MME1BEL,438002,248379
2020/11/14 14:00,MME1BEL,445252,251726
2020/11/14 15:00,MME1BEL,450342,256686
2020/11/14 16:00,MME1BEL,441339,252799
2020/11/14 17:00,MME1BEL,439090,249264
2020/11/14 18:00,MME1BEL,443454,254393
2020/11/14 19:00,MME1BEL,456557,263983
2020/11/14 20:00,MME1BEL,467732,274050
2020/11/14 21:00,MME1BEL,455647,263142
2020/11/14 22:00,MME1BEL,447212,255363
2020/11/14 23:00,MME1BEL,429615,242517
2020/11/15 0:00,MME1BEL,411035,225600
2020/11/15 1:00,MME1BEL,375010,196403
2020/11/15 2:00,MME1BEL,351151,180216
2020/11/15 3:00,MME1BEL,336098,168051
2020/11/15 4:00,MME1BEL,321054,158091
2020/11/15 5:00,MME1BEL,321916,155763
2020/11/15 6:00,MME1BEL,324838,162546
2020/11/15 7:00,MME1BEL,336997,175942
2020/11/15 8:00,MME1BEL,366764,198197
2020/11/15 9:00,MME1BEL,398859,224753
2020/11/15 10:00,MME1BEL,418917,242806
2020/11/15 11:00,MME1BEL,432675,250358
2020/11/15 12:00,MME1BEL,438595,252324
2020/11/15 13:00,MME1BEL,429512,244860
2020/11/15 14:00,MME1BEL,433399,247096
2020/11/15 15:00,MME1BEL,437184,247198
2020/11/15 16:00,MME1BEL,429203,242561
2020/11/15 17:00,MME1BEL,427811,242798
2020/11/15 18:00,MME1BEL,438373,252264
2020/11/15 19:00,MME1BEL,448376,263475
2020/11/15 20:00,MME1BEL,468316,278142
2020/11/15 21:00,MME1BEL,461141,275633
2020/11/15 22:00,MME1BEL,448105,263144
2020/11/15 23:00,MME1BEL,432569,247276
2020/11/09 0:00,MME1CLI,485612,306755
2020/11/09 1:00,MME1CLI,449041,275172
2020/11/09 2:00,MME1CLI,406174,234586
2020/11/09 3:00,MME1CLI,410460,241794
2020/11/09 4:00,MME1CLI,378867,215439
2020/11/09 5:00,MME1CLI,406114,242732
2020/11/09 6:00,MME1CLI,416572,252310
2020/11/09 7:00,MME1CLI,468916,302242
2020/11/09 8:00,MME1CLI,479664,306399
2020/11/09 9:00,MME1CLI,512734,334627
2020/11/09 10:00,MME1CLI,512218,329009
2020/11/09 11:00,MME1CLI,537026,347942
2020/11/09 12:00,MME1CLI,536634,340755
2020/11/09 13:00,MME1CLI,552123,353854
2020/11/09 14:00,MME1CLI,535023,334591
2020/11/09 15:00,MME1CLI,539982,341953
2020/11/09 16:00,MME1CLI,527941,327097
2020/11/09 17:00,MME1CLI,548181,345505
2020/11/09 18:00,MME1CLI,534706,333633
2020/11/09 19:00,MME1CLI,560741,358687
2020/11/09 20:00,MME1CLI,556001,357605
2020/11/09 21:00,MME1CLI,557661,362094
2020/11/09 22:00,MME1CLI,532486,340878
2020/11/09 23:00,MME1CLI,512871,327484
2020/11/10 0:00,MME1CLI,473797,292889
2020/11/10 1:00,MME1CLI,427674,254444
2020/11/10 2:00,MME1CLI,397369,224991
2020/11/10 3:00,MME1CLI,389706,221698
2020/11/10 4:00,MME1CLI,372852,207801
2020/11/10 5:00,MME1CLI,386780,224651
2020/11/10 6:00,MME1CLI,417536,249878
2020/11/10 7:00,MME1CLI,456017,288866
2020/11/10 8:00,MME1CLI,474565,302966
2020/11/10 9:00,MME1CLI,499154,322473
2020/11/10 10:00,MME1CLI,507909,321790
2020/11/10 11:00,MME1CLI,526882,339850
2020/11/10 12:00,MME1CLI,527894,336430
2020/11/10 13:00,MME1CLI,537929,342516
2020/11/10 14:00,MME1CLI,527099,332296
2020/11/10 15:00,MME1CLI,526863,333511
2020/11/10 16:00,MME1CLI,518776,327133
2020/11/10 17:00,MME1CLI,533577,340629
2020/11/10 18:00,MME1CLI,533887,338458
2020/11/10 19:00,MME1CLI,549780,352857
2020/11/10 20:00,MME1CLI,546744,351334
2020/11/10 21:00,MME1CLI,555108,360614
2020/11/10 22:00,MME1CLI,540512,349326
2020/11/10 23:00,MME1CLI,513955,328849
2020/11/11 0:00,MME1CLI,478668,295031
2020/11/11 1:00,MME1CLI,435556,254933
2020/11/11 2:00,MME1CLI,398929,225119
2020/11/11 3:00,MME1CLI,387385,220954
2020/11/11 4:00,MME1CLI,370686,207755
2020/11/11 5:00,MME1CLI,386633,226719
2020/11/11 6:00,MME1CLI,411955,249029
2020/11/11 7:00,MME1CLI,452206,286459
2020/11/11 8:00,MME1CLI,473149,299605
2020/11/11 9:00,MME1CLI,499747,322862
2020/11/11 10:00,MME1CLI,506876,322012
2020/11/11 11:00,MME1CLI,525096,338480
2020/11/11 12:00,MME1CLI,528895,338373
2020/11/11 13:00,MME1CLI,539173,345156
2020/11/11 14:00,MME1CLI,523928,330183
2020/11/11 15:00,MME1CLI,520455,328097
2020/11/11 16:00,MME1CLI,518432,328588
2020/11/11 17:00,MME1CLI,525458,337068
2020/11/11 18:00,MME1CLI,523398,331208
2020/11/11 19:00,MME1CLI,543196,348486
2020/11/11 20:00,MME1CLI,549213,353250
2020/11/11 21:00,MME1CLI,604569,409794
2020/11/11 22:00,MME1CLI,567215,374906
2020/11/11 23:00,MME1CLI,508688,323508
2020/11/12 0:00,MME1CLI,470094,288022
2020/11/12 1:00,MME1CLI,426639,253366
2020/11/12 2:00,MME1CLI,395722,227251
2020/11/12 3:00,MME1CLI,380424,219629
2020/11/12 4:00,MME1CLI,371409,205516
2020/11/12 5:00,MME1CLI,385493,221273
2020/11/12 6:00,MME1CLI,407201,243743
2020/11/12 7:00,MME1CLI,449770,281546
2020/11/12 8:00,MME1CLI,473074,296651
2020/11/12 9:00,MME1CLI,492349,315424
2020/11/12 10:00,MME1CLI,499615,317829
2020/11/12 11:00,MME1CLI,518967,330322
2020/11/12 12:00,MME1CLI,522806,331492
2020/11/12 13:00,MME1CLI,535909,338465
2020/11/12 14:00,MME1CLI,524598,328833
2020/11/12 15:00,MME1CLI,519849,326710
2020/11/12 16:00,MME1CLI,513736,321877
2020/11/12 17:00,MME1CLI,525793,332376
2020/11/12 18:00,MME1CLI,517513,325231
2020/11/12 19:00,MME1CLI,532962,340825
2020/11/12 20:00,MME1CLI,545016,349809
2020/11/12 21:00,MME1CLI,538589,346777
2020/11/12 22:00,MME1CLI,468828,296776
2020/11/12 23:00,MME1CLI,520218,333203
2020/11/13 0:00,MME1CLI,475011,290293
2020/11/13 1:00,MME1CLI,441252,261011
2020/11/13 2:00,MME1CLI,408775,230490
2020/11/13 3:00,MME1CLI,394299,221977
2020/11/13 4:00,MME1CLI,375602,207033
2020/11/13 5:00,MME1CLI,390071,221619
2020/11/13 6:00,MME1CLI,413889,245879
2020/11/13 7:00,MME1CLI,454406,282809
2020/11/13 8:00,MME1CLI,476276,297492
2020/11/13 9:00,MME1CLI,499038,316721
2020/11/13 10:00,MME1CLI,504186,318838
2020/11/13 11:00,MME1CLI,520150,329798
2020/11/13 12:00,MME1CLI,519399,325080
2020/11/13 13:00,MME1CLI,528767,332549
2020/11/13 14:00,MME1CLI,519224,326194
2020/11/13 15:00,MME1CLI,520490,329786
2020/11/13 16:00,MME1CLI,516415,322547
2020/11/13 17:00,MME1CLI,531038,333760
2020/11/13 18:00,MME1CLI,526277,327052
2020/11/13 19:00,MME1CLI,538209,341721
2020/11/13 20:00,MME1CLI,550378,349227
2020/11/13 21:00,MME1CLI,544709,345880
2020/11/13 22:00,MME1CLI,523967,327609
2020/11/13 23:00,MME1CLI,505709,315890
2020/11/14 0:00,MME1CLI,476162,290565
2020/11/14 1:00,MME1CLI,443524,260897
2020/11/14 2:00,MME1CLI,413011,236468
2020/11/14 3:00,MME1CLI,402385,226012
2020/11/14 4:00,MME1CLI,382357,207971
2020/11/14 5:00,MME1CLI,385033,216872
2020/11/14 6:00,MME1CLI,395181,227621
2020/11/14 7:00,MME1CLI,425575,258263
2020/11/14 8:00,MME1CLI,448874,276789
2020/11/14 9:00,MME1CLI,484974,306811
2020/11/14 10:00,MME1CLI,500482,314570
2020/11/14 11:00,MME1CLI,518918,328662
2020/11/14 12:00,MME1CLI,515283,323952
2020/11/14 13:00,MME1CLI,529012,332983
2020/11/14 14:00,MME1CLI,527752,331507
2020/11/14 15:00,MME1CLI,536648,340928
2020/11/14 16:00,MME1CLI,523956,332065
2020/11/14 17:00,MME1CLI,530502,336619
2020/11/14 18:00,MME1CLI,529698,337619
2020/11/14 19:00,MME1CLI,551152,356191
2020/11/14 20:00,MME1CLI,559392,364701
2020/11/14 21:00,MME1CLI,548080,355080
2020/11/14 22:00,MME1CLI,535607,340163
2020/11/14 23:00,MME1CLI,513997,326278
2020/11/15 0:00,MME1CLI,486763,298853
2020/11/15 1:00,MME1CLI,448998,267625
2020/11/15 2:00,MME1CLI,419368,240613
2020/11/15 3:00,MME1CLI,398467,226332
2020/11/15 4:00,MME1CLI,375186,209205
2020/11/15 5:00,MME1CLI,375409,211833
2020/11/15 6:00,MME1CLI,383427,216957
2020/11/15 7:00,MME1CLI,404734,237058
2020/11/15 8:00,MME1CLI,428005,260494
2020/11/15 9:00,MME1CLI,470581,297743
2020/11/15 10:00,MME1CLI,492882,313807
2020/11/15 11:00,MME1CLI,515314,329917
2020/11/15 12:00,MME1CLI,510724,324862
2020/11/15 13:00,MME1CLI,511216,320942
2020/11/15 14:00,MME1CLI,511348,317540
2020/11/15 15:00,MME1CLI,512447,323300
2020/11/15 16:00,MME1CLI,502975,314769
2020/11/15 17:00,MME1CLI,513125,324836
2020/11/15 18:00,MME1CLI,515766,324677
2020/11/15 19:00,MME1CLI,531017,341187
2020/11/15 20:00,MME1CLI,547961,356076
2020/11/15 21:00,MME1CLI,548778,358350
2020/11/15 22:00,MME1CLI,530443,342668
2020/11/15 23:00,MME1CLI,519501,331140
2020/11/09 0:00,MME1MUN,382054,215518
2020/11/09 1:00,MME1MUN,344203,180284
2020/11/09 2:00,MME1MUN,319989,162171
2020/11/09 3:00,MME1MUN,309662,156404
2020/11/09 4:00,MME1MUN,301426,148856
2020/11/09 5:00,MME1MUN,304837,156349
2020/11/09 6:00,MME1MUN,326671,174519
2020/11/09 7:00,MME1MUN,356882,201433
2020/11/09 8:00,MME1MUN,383393,218310
2020/11/09 9:00,MME1MUN,396807,227630
2020/11/09 10:00,MME1MUN,408326,231663
2020/11/09 11:00,MME1MUN,420928,239473
2020/11/09 12:00,MME1MUN,429262,243430
2020/11/09 13:00,MME1MUN,435385,244710
2020/11/09 14:00,MME1MUN,431135,240432
2020/11/09 15:00,MME1MUN,423392,235405
2020/11/09 16:00,MME1MUN,423728,235259
2020/11/09 17:00,MME1MUN,430333,238961
2020/11/09 18:00,MME1MUN,428577,236270
2020/11/09 19:00,MME1MUN,435176,244741
2020/11/09 20:00,MME1MUN,438180,251121
2020/11/09 21:00,MME1MUN,431262,247743
2020/11/09 22:00,MME1MUN,416828,237149
2020/11/09 23:00,MME1MUN,396129,222382
2020/11/10 0:00,MME1MUN,376719,208386
2020/11/10 1:00,MME1MUN,333423,171665
2020/11/10 2:00,MME1MUN,317937,159456
2020/11/10 3:00,MME1MUN,302204,146019
2020/11/10 4:00,MME1MUN,295201,143550
2020/11/10 5:00,MME1MUN,300041,147971
2020/11/10 6:00,MME1MUN,328711,174317
2020/11/10 7:00,MME1MUN,351257,192943
2020/11/10 8:00,MME1MUN,378551,212566
2020/11/10 9:00,MME1MUN,394067,221139
2020/11/10 10:00,MME1MUN,408955,230479
2020/11/10 11:00,MME1MUN,415251,232984
2020/11/10 12:00,MME1MUN,423000,236483
2020/11/10 13:00,MME1MUN,420027,236294
2020/11/10 14:00,MME1MUN,423042,238099
2020/11/10 15:00,MME1MUN,415274,230238
2020/11/10 16:00,MME1MUN,415226,231729
2020/11/10 17:00,MME1MUN,416915,233052
2020/11/10 18:00,MME1MUN,415360,233366
2020/11/10 19:00,MME1MUN,426306,241557
2020/11/10 20:00,MME1MUN,436701,251071
2020/11/10 21:00,MME1MUN,428755,246347
2020/11/10 22:00,MME1MUN,426354,246650
2020/11/10 23:00,MME1MUN,402221,224840
2020/11/11 0:00,MME1MUN,379142,206260
2020/11/11 1:00,MME1MUN,343762,174920
2020/11/11 2:00,MME1MUN,319235,155411
2020/11/11 3:00,MME1MUN,304212,146347
2020/11/11 4:00,MME1MUN,293909,141541
2020/11/11 5:00,MME1MUN,302315,149438
2020/11/11 6:00,MME1MUN,325407,170421
2020/11/11 7:00,MME1MUN,354262,192982
2020/11/11 8:00,MME1MUN,376092,210476
2020/11/11 9:00,MME1MUN,396632,221657
2020/11/11 10:00,MME1MUN,406359,229098
2020/11/11 11:00,MME1MUN,417283,233909
2020/11/11 12:00,MME1MUN,427574,240183
2020/11/11 13:00,MME1MUN,425565,237315
2020/11/11 14:00,MME1MUN,424514,235195
2020/11/11 15:00,MME1MUN,418437,231621
2020/11/11 16:00,MME1MUN,408221,227948
2020/11/11 17:00,MME1MUN,414531,231719
2020/11/11 18:00,MME1MUN,417170,232122
2020/11/11 19:00,MME1MUN,424272,239501
2020/11/11 20:00,MME1MUN,436493,249662
2020/11/11 21:00,MME1MUN,472548,284345
2020/11/11 22:00,MME1MUN,439798,259779
2020/11/11 23:00,MME1MUN,394550,219856
2020/11/12 0:00,MME1MUN,368758,198710
2020/11/12 1:00,MME1MUN,333544,169032
2020/11/12 2:00,MME1MUN,312246,154233
2020/11/12 3:00,MME1MUN,310487,145534
