MyDay,NENAME,S1_mode_combined_attach_request_times_SEQ,S1_mode_combined_attach_success_times_SEQ
2020/11/02 0:00,MME1BEL,367245,225822
2020/11/02 1:00,MME1BEL,295774,176136
2020/11/02 2:00,MME1BEL,305409,195410
2020/11/02 3:00,MME1BEL,277590,146942
2020/11/02 4:00,MME1BEL,303168,176509
2020/11/02 5:00,MME1BEL,271922,144899
2020/11/02 6:00,MME1BEL,326014,198698
2020/11/02 7:00,MME1BEL,324459,192168
2020/11/02 8:00,MME1BEL,374446,239084
2020/11/02 9:00,MME1BEL,361277,223473
2020/11/02 10:00,MME1BEL,398379,254354
2020/11/02 11:00,MME1BEL,385852,236543
2020/11/02 12:00,MME1BEL,409011,260049
2020/11/02 13:00,MME1BEL,390897,238734
2020/11/02 14:00,MME1BEL,408673,258178
2020/11/02 15:00,MME1BEL,394439,242717
2020/11/02 16:00,MME1BEL,413163,259396
2020/11/02 17:00,MME1BEL,397295,245288
2020/11/02 18:00,MME1BEL,410179,258792
2020/11/02 19:00,MME1BEL,403087,250033
2020/11/02 20:00,MME1BEL,429041,273777
2020/11/02 21:00,MME1BEL,410661,255747
2020/11/02 22:00,MME1BEL,413875,261924
2020/11/02 23:00,MME1BEL,379197,233910
2020/11/03 0:00,MME1BEL,376464,230940
2020/11/03 1:00,MME1BEL,325586,185258
2020/11/03 2:00,MME1BEL,317441,182637
2020/11/03 3:00,MME1BEL,291241,158195
2020/11/03 4:00,MME1BEL,295731,164983
2020/11/03 5:00,MME1BEL,287853,158121
2020/11/03 6:00,MME1BEL,325893,194573
2020/11/03 7:00,MME1BEL,339106,203336
2020/11/03 8:00,MME1BEL,376316,235678
2020/11/03 9:00,MME1BEL,382222,238475
2020/11/03 10:00,MME1BEL,404373,253460
2020/11/03 11:00,MME1BEL,399748,248435
2020/11/03 12:00,MME1BEL,420434,263771
2020/11/03 13:00,MME1BEL,409209,250721
2020/11/03 14:00,MME1BEL,415639,258883
2020/11/03 15:00,MME1BEL,400353,244970
2020/11/03 16:00,MME1BEL,415301,258137
2020/11/03 17:00,MME1BEL,409930,251167
2020/11/03 18:00,MME1BEL,417120,260181
2020/11/03 19:00,MME1BEL,413104,256141
2020/11/03 20:00,MME1BEL,435717,276643
2020/11/03 21:00,MME1BEL,426048,265669
2020/11/03 22:00,MME1BEL,421302,261669
2020/11/03 23:00,MME1BEL,393777,238341
2020/11/04 0:00,MME1BEL,593564,442402
2020/11/04 1:00,MME1BEL,411957,265850
2020/11/04 2:00,MME1BEL,376615,236528
2020/11/04 3:00,MME1BEL,327478,191057
2020/11/04 4:00,MME1BEL,348367,216059
2020/11/04 5:00,MME1BEL,325337,190838
2020/11/04 6:00,MME1BEL,372946,237463
2020/11/04 7:00,MME1BEL,368968,229992
2020/11/04 8:00,MME1BEL,407038,263654
2020/11/04 9:00,MME1BEL,396342,247791
2020/11/04 10:00,MME1BEL,421992,268665
2020/11/04 11:00,MME1BEL,411019,256749
2020/11/04 12:00,MME1BEL,429129,271598
2020/11/04 13:00,MME1BEL,415980,257444
2020/11/04 14:00,MME1BEL,428166,267021
2020/11/04 15:00,MME1BEL,414475,253041
2020/11/04 16:00,MME1BEL,422674,263999
2020/11/04 17:00,MME1BEL,414794,255603
2020/11/04 18:00,MME1BEL,421177,263370
2020/11/04 19:00,MME1BEL,426155,262994
2020/11/04 20:00,MME1BEL,440590,277412
2020/11/04 21:00,MME1BEL,434656,269835
2020/11/04 22:00,MME1BEL,427564,265114
2020/11/04 23:00,MME1BEL,396860,241249
2020/11/05 0:00,MME1BEL,377321,222955
2020/11/05 1:00,MME1BEL,335111,186928
2020/11/05 2:00,MME1BEL,319345,174828
2020/11/05 3:00,MME1BEL,301868,160438
2020/11/05 4:00,MME1BEL,298679,160538
2020/11/05 5:00,MME1BEL,298388,162523
2020/11/05 6:00,MME1BEL,326330,187634
2020/11/05 7:00,MME1BEL,347663,208243
2020/11/05 8:00,MME1BEL,371798,227910
2020/11/05 9:00,MME1BEL,384738,235299
2020/11/05 10:00,MME1BEL,400065,246785
2020/11/05 11:00,MME1BEL,407010,248427
2020/11/05 12:00,MME1BEL,415562,256138
2020/11/05 13:00,MME1BEL,418682,255423
2020/11/05 14:00,MME1BEL,414629,251486
2020/11/05 15:00,MME1BEL,415477,251129
2020/11/05 16:00,MME1BEL,411944,251939
2020/11/05 17:00,MME1BEL,414209,252527
2020/11/05 18:00,MME1BEL,414056,250695
2020/11/05 19:00,MME1BEL,421983,257352
2020/11/05 20:00,MME1BEL,433039,268544
2020/11/05 21:00,MME1BEL,426588,262091
2020/11/05 22:00,MME1BEL,418291,255674
2020/11/05 23:00,MME1BEL,397233,238267
2020/11/06 0:00,MME1BEL,605079,448074
2020/11/06 1:00,MME1BEL,324873,170181
2020/11/06 2:00,MME1BEL,411521,262113
2020/11/06 3:00,MME1BEL,282516,140916
2020/11/06 4:00,MME1BEL,379624,235413
2020/11/06 5:00,MME1BEL,283843,142431
2020/11/06 6:00,MME1BEL,398876,252573
2020/11/06 7:00,MME1BEL,339985,190757
2020/11/06 8:00,MME1BEL,427100,277251
2020/11/06 9:00,MME1BEL,374239,218491
2020/11/06 10:00,MME1BEL,438635,277999
2020/11/06 11:00,MME1BEL,394777,231314
2020/11/06 12:00,MME1BEL,449036,280558
2020/11/06 13:00,MME1BEL,407661,236677
2020/11/06 14:00,MME1BEL,440692,271055
2020/11/06 15:00,MME1BEL,401910,233027
2020/11/06 16:00,MME1BEL,436695,267434
2020/11/06 17:00,MME1BEL,408870,238390
2020/11/06 18:00,MME1BEL,434821,263256
2020/11/06 19:00,MME1BEL,412970,243772
2020/11/06 20:00,MME1BEL,452279,279927
