fechaHora,fechaHora,ultimoPrecio
2021-02-22 17:00:49.817,2021-02-22T17:00:49.817,134.0
2021-02-19 17:00:55.587,2021-02-19T17:00:55.587,135.0
2021-02-18 17:00:36.117,2021-02-18T17:00:36.117,135.0
2021-02-17 17:00:44.503,2021-02-17T17:00:44.503,135.0
2021-02-12 17:00:44.663,2021-02-12T17:00:44.663,135.0
2021-02-11 03:00:00.420,2021-02-11T03:00:00.42,138.5
2021-02-10 17:00:46.480,2021-02-10T17:00:46.48,135.0
2021-02-09 17:00:45.990,2021-02-09T17:00:45.99,138.5
2021-02-08 17:00:41.663,2021-02-08T17:00:41.663,139.0
2021-02-05 17:00:45.607,2021-02-05T17:00:45.607,134.0
2021-02-04 17:00:43.943,2021-02-04T17:00:43.943,134.5
2021-02-03 17:00:41.307,2021-02-03T17:00:41.307,130.0
2021-02-02 17:00:41.550,2021-02-02T17:00:41.55,139.5
2021-02-01 17:00:50.270,2021-02-01T17:00:50.27,139.5
2021-01-29 17:00:37.130,2021-01-29T17:00:37.13,139.0
2021-01-28 17:00:40.967,2021-01-28T17:00:40.967,140.0
2021-01-27 16:00:05.017,2021-01-27T16:00:05.017,143.0
2021-01-26 17:00:38.300,2021-01-26T17:00:38.3,141.0
2021-01-25 17:00:43.100,2021-01-25T17:00:43.1,139.5
2021-01-22 17:00:42.830,2021-01-22T17:00:42.83,139.0
2021-01-21 17:00:39.457,2021-01-21T17:00:39.457,139.5
2021-01-20 17:00:43.207,2021-01-20T17:00:43.207,139.25
2021-01-19 17:00:44.477,2021-01-19T17:00:44.477,135.5
2021-01-18 17:00:50.907,2021-01-18T17:00:50.907,132.0
2021-01-15 17:00:37.140,2021-01-15T17:00:37.14,132.0
2021-01-14 03:00:00.050,2021-01-14T03:00:00.05,133.0
2021-01-13 17:00:40.300,2021-01-13T17:00:40.3,133.0
2021-01-12 17:00:50.507,2021-01-12T17:00:50.507,133.0
2021-01-11 17:00:38.013,2021-01-11T17:00:38.013,133.0
2021-01-08 17:00:41.840,2021-01-08T17:00:41.84,134.5
2021-01-07 17:00:43.580,2021-01-07T17:00:43.58,136.0
2021-01-06 17:00:47.987,2021-01-06T17:00:47.987,132.0
2021-01-05 17:00:48.937,2021-01-05T17:00:48.937,130.0
2021-01-04 17:00:39.273,2021-01-04T17:00:39.273,130.0
2020-12-30 17:00:39.613,2020-12-30T17:00:39.613,122.0
2020-12-29 17:00:37.077,2020-12-29T17:00:37.077,117.0
2020-12-28 17:00:49.290,2020-12-28T17:00:49.29,110.0
2020-12-23 03:00:00.433,2020-12-23T03:00:00.433,107.0
2020-12-22 17:00:39.260,2020-12-22T17:00:39.26,107.0
2020-12-21 17:00:43.960,2020-12-21T17:00:43.96,107.0
2020-12-18 17:00:36.570,2020-12-18T17:00:36.57,107.0
2020-12-17 16:00:16.930,2020-12-17T16:00:16.93,105.0
2020-12-16 17:00:48.330,2020-12-16T17:00:48.33,105.0
2020-12-15 17:00:42.520,2020-12-15T17:00:42.52,100.0
2020-12-14 17:00:39.593,2020-12-14T17:00:39.593,100.0
2020-12-11 17:00:41.370,2020-12-11T17:00:41.37,100.0
2020-12-10 17:00:40.487,2020-12-10T17:00:40.487,100.0
2020-12-09 17:00:40.060,2020-12-09T17:00:40.06,100.0
2020-12-04 17:00:43.767,2020-12-04T17:00:43.767,100.0
2020-12-03 17:00:45.987,2020-12-03T17:00:45.987,100.0
2020-12-02 17:00:49.773,2020-12-02T17:00:49.773,100.0
2020-12-01 16:00:09.717,2020-12-01T16:00:09.717,100.0
2020-11-30 17:00:43.823,2020-11-30T17:00:43.823,100.0
2020-11-27 17:00:49.243,2020-11-27T17:00:49.243,96.9
2020-11-26 17:00:47.490,2020-11-26T17:00:47.49,96.0
2020-11-25 17:00:48.057,2020-11-25T17:00:48.057,96.0
